41,40
55,57
60,53
47,53
59,55
41,49
52,49
16,84
72,27
71,29
52,58
53,23
33,54
48,45
40,41
29,41
40,50
29,50
75,17
37,42
59,39
55,50
52,33
36,46
52,42
71,22
52,51
13,79
33,47
48,29
28,60
63,27
44,56
40,34
40,43
37,35
75,19
22,46
24,65
14,42
75,28
29,70
59,50
52,44
17,44
33,40
44,40
33,49
44,49
66,46
40,36
29,36
32,53
29,45
40,45
63,47
67,29
21,41
32,71
14,44
55,45
47,41
59,43
55,54
52,37
33,33
59,52
52,46
33,42
44,42
25,38
71,35
28,64
40,29
48,42
40,38
37,21
29,47
75,14
67,31
21,43
70,27
40,56
62,53
44,17
41,30
13,78
47,43
41,39
44,35
36,52
16,83
28,48
17,48
33,44
71,28
48,26
32,48
43,48
48,44
67,15
43,57
40,40
29,40
63,42
48,53
55,31
75,16
70,29
16,58
36,36
44,19
52,32
54,51
67,51
54,60
33,37
59,56
31,67
63,17
48,28
51,45
25,42
43,41
63,26
43,50
48,46
35,46
24,46
29,42
40,42
70,13
75,9
40,51
75,18
47,29
67,44
39,55
74,22
59,40
54,53
36,47
47,47
55,60
66,27
51,38
71,23
32,34
63,19
36,65
51,47
28,61
66,45
58,62
48,39
43,43
35,48
40,44
16,44
67,28
75,11
35,57
52,18
39,48
36,31
44,23
39,57
74,24
20,53
54,55
31,53
66,38
28,63
43,45
66,47
24,41
40,37
29,37
32,54
66,56
67,30
70,26
62,43
32,72
55,37
24,68
62,52
59,35
31,46
47,42
51,24
74,26
31,64
66,31
51,42
31,73
43,38
51,51
35,34
61,53
32,47
43,47
40,30
35,43
15,86
16,48
39,43
39,52
44,18
55,48
54,50
66,15
36,44
47,44
74,28
28,49
43,31
48,27
50,46
61,46
32,40
43,40
35,36
66,51
35,45
27,62
27,71
39,36
39,45
62,47
20,41
39,54
74,21
36,37
54,52
20,50
23,46
28,42
31,59
43,24
26,72
63,18
32,33
51,46
69,52
61,48
43,42
32,42
50,48
35,38
66,44
35,47
27,64
70,14
16,43
59,14
27,73
39,38
35,56
47,30
74,14
62,49
54,45
20,43
47,39
74,23
57,62
31,52
20,61
43,26
66,28
51,39
32,35
23,66
27,48
15,83
43,44
42,46
42,55
35,49
16,45
31,36
46,55
62,51
57,55
31,45
69,29
39,58
74,25
23,41
28,37
54,56
20,54
58,38
31,63
53,60
43,37
42,39
32,37
61,52
58,56
43,46
62,17
15,85
35,42
24,42
50,52
73,26
16,47
54,31
46,48
62,44
38,44
39,51
38,53
49,53
54,49
31,47
20,47
51,25
23,43
26,69
43,30
27,43
61,45
43,39
42,41
50,45
15,87
42,50
19,48
27,61
37,63
42,59
27,70
39,35
31,31
73,46
31,40
74,20
51,18
26,63
26,62
50,38
53,55
27,45
61,47
35,37
65,38
22,67
34,69
27,63
65,47
30,59
46,43
49,39
30,68
77,21
15,46
31,42
57,61
58,35
33,70
53,48
58,44
18,60
26,73
53,57
35,21
42,36
45,53
50,49
65,31
76,31
30,43
19,43
34,62
30,52
57,36
19,52
27,65
57,45
49,41
77,23
31,35
68,54
54,37
69,28
58,37
53,50
64,50
58,46
25,68
50,42
65,24
42,38
30,36
27,49
45,55
35,32
42,47
50,51
30,45
38,34
39,41
52,60
38,43
31,37
49,52
69,30
38,61
23,42
58,39
34,39
45,39
53,52
45,48
27,42
37,44
30,38
37,53
76,35
22,64
42,49
46,31
68,31
73,27
49,27
46,40
54,23
39,34
46,49
69,14
38,45
15,43
49,45
38,54
64,36
18,48
34,32
26,61
53,45
26,70
37,37
34,50
27,44
76,28
38,20
22,66
60,50
65,46
41,46
38,29
46,42
38,38
68,51
33,51
14,80
57,51
15,54
25,56
58,34
34,34
56,34
53,47
64,47
33,69
45,43
45,34
25,74
37,39
76,21
42,35
53,56
61,39
37,48
22,41
30,42
14,46
76,30
56,61
65,39
60,52
52,48
41,48
77,22
33,53
72,35
38,49
44,53
14,82
15,47
71,46
64,40
56,36
37,32
76,14
34,45
22,43
56,45
65,23
76,23
45,54
30,44
68,28
29,76
52,41
41,41
41,50
52,50
57,46
72,28
52,59
38,42
49,42
33,55
72,46
50,25
34,38
53,51
63,53
25,69
42,30
65,16
37,43
30,37
21,56
29,69
76,34
57,30
60,47
68,30
75,45
49,26
46,39
33,48
44,48
26,42
44,57
26,51
28,70
50,18
45,40
34,40
64,53
29,53
34,49
45,49
68,14
14,43
37,45
60,40
22,65
60,49
46,32
68,32
52,45
41,45
49,28
33,41
38,37
44,50
15,44
25,46
53,37
34,33
53,46
40,46
25,64
45,42
34,42
25,73
40,55
34,51
76,29
46,25
29,73
41,38
60,51
33,34
59,53
44,34
33,43
64,21
44,52
33,52
45,17
28,65
29,39
40,39
34,35
37,31
40,48
75,15
34,44
65,22
40,57
37,49
68,27
59,46
