10,42,2
10,43,2
11,41,2
11,44,2
12,43,2
13,41,2
13,43,2
14,42,2
14,43,2
14,44,2
17,41,2
18,87,2
19,86,2
20,64,2
21,66,2
22,64,2
22,72,2
23,65,2
24,72,2
24,76,2
24,78,2
25,42,2
25,50,2
25,73,2
25,74,2
25,75,2
26,42,2
26,43,2
26,49,2
26,51,2
26,70,2
26,72,2
26,75,2
27,38,2
27,43,2
27,49,2
27,50,2
27,51,2
27,52,2
27,70,2
27,71,2
27,72,2
27,73,2
28,36,2
28,37,2
28,38,2
28,39,2
28,49,2
28,50,2
28,51,2
28,69,2
28,70,2
28,71,2
28,72,2
28,79,2
29,36,2
29,37,2
29,38,2
29,39,2
29,45,2
29,50,2
29,51,2
29,53,2
29,61,2
29,70,2
29,71,2
29,73,2
29,76,2
30,35,2
30,36,2
30,37,2
30,38,2
30,39,2
30,40,2
30,43,2
31,33,2
31,34,2
31,35,2
31,36,2
31,37,2
31,39,2
31,40,2
31,46,2
31,47,2
31,48,2
32,34,2
32,35,2
32,36,2
32,37,2
32,38,2
32,39,2
32,40,2
32,45,2
32,46,2
32,47,2
32,48,2
32,49,2
33,33,2
33,34,2
33,35,2
33,36,2
33,37,2
33,39,2
33,41,2
33,42,2
33,44,2
33,47,2
33,48,2
33,49,2
34,32,2
34,33,2
34,34,2
34,35,2
34,36,2
34,37,2
34,38,2
34,40,2
34,42,2
34,46,2
34,47,2
34,48,2
34,49,2
35,34,2
35,36,2
35,37,2
35,40,2
35,41,2
35,42,2
35,43,2
35,47,2
35,48,2
35,49,2
35,52,2
36,21,2
36,22,2
36,32,2
36,34,2
36,38,2
36,39,2
36,40,2
36,41,2
36,42,2
36,43,2
36,49,2
36,52,2
36,53,2
37,31,2
37,32,2
37,33,2
37,37,2
37,38,2
37,39,2
37,40,2
37,41,2
37,42,2
37,43,2
37,44,2
37,50,2
37,53,2
38,19,2
38,29,2
38,30,2
38,32,2
38,33,2
38,34,2
38,38,2
38,39,2
38,40,2
38,41,2
38,42,2
38,43,2
38,44,2
38,45,2
38,50,2
38,55,2
38,57,2
39,36,2
39,37,2
39,38,2
39,39,2
39,40,2
39,41,2
39,44,2
39,45,2
39,48,2
39,50,2
